Iteration,Counter,Wait_Time
1,0.7434414911770686,1.0019172774777156
2,1.5010092836603388,1.0077926541788773
3,1.4099501365626952,1.0068789766029242
4,2.5993667869768284,1.02319185942962
5,2.913920037200919,1.0290601496268363
6,3.92839030645405,1.0522207019225858
7,3.9955043960490704,1.0539741437466292
8,5.280245617268118,1.0925282661569624
9,5.340027340313867,1.0945442100459606
10,6.313274093678908,1.1299503116592646
11,6.751524797701369,1.1474097855301706
12,6.6377391137573305,1.142790142292781
13,7.26357245803371,1.1689248527941827
14,7.161782895395827,1.1645550361522927
15,8.097997532632519,1.2063994986187272
16,8.184766661054354,1.2104590649370353
17,8.48123281710775,1.2245501160800099
18,8.475285965733013,1.2242641559801197
19,9.069751050362886,1.2534961776843028
20,9.232863136339661,1.2617386639914665
21,9.835428623177142,1.2929715349879027
22,11.021529589683652,1.3577813666262497
23,10.634965312450488,1.336201309260034
24,11.087057261031793,1.3614811142174608
25,11.708420998190896,1.3971377543602748
26,12.479836811706466,1.4427653011540214
27,12.769837932682663,1.4602814626596365
28,14.06969759700823,1.541005242058057
29,15.0229530547143,1.6022751152747825
30,15.907288221606143,1.6604923520292305
31,15.913701735613541,1.6609190539219656
32,16.725549977605883,1.7154203041281815
33,17.119738737232097,1.7422157316966875
34,17.241635761537452,1.750543573780741
35,17.82896994041066,1.7909342866226174
36,17.12896994041066,1.742845715783313
37,17.15127000682232,1.7443680462796287
38,16.478866679938207,1.6987598561875334
39,17.326338189112466,1.7563416742453477
40,18.087079937849285,1.808818023903528
41,18.114889715996366,1.810749594287755
42,18.364507725962042,1.8281273509328084
43,18.550998596782193,1.8411566958667112
44,19.850998596751808,1.9330138839679327
45,19.919658529136523,1.937912672749775
46,20.108441842753344,1.951405179862908
47,20.47086155536086,1.977400392242635
48,20.66891973490453,1.991656630044317
49,19.968919735077797,1.9414301633253004
50,19.849515786987112,1.9329081374710335
51,19.720078557173622,1.9236855149489216
52,20.174368438993124,1.9561248928973811
53,20.325544870971314,1.9669628560540504
54,20.926564973761803,2.0102534417350117
55,21.49145745017832,2.051223793476079
56,22.71114775971642,2.1405415860693218
57,22.6517745444472,2.1361681848523677
58,23.035444380633642,2.1644727639601884
59,23.840670765543386,2.224200203554819
60,24.409208909778435,2.2666199131226072
61,24.76956284344258,2.293607123093646
62,24.07028905172574,2.2413085448659413
63,25.186393852551028,2.324917016583334
64,25.60401623577252,2.3563826552721396
65,25.546770856216433,2.3520639594419532
66,25.448119553118755,2.344625634636798
67,24.759437495520785,2.292847794250938
68,24.549186590835756,2.2770939116431173
69,24.936527811437486,2.3061367697144792
70,25.430267615490905,2.3432801543804134
71,24.781750701466088,2.2945212037312546
72,24.636553082573098,2.2836370658545406
73,25.108365650359165,2.319048574116561
74,24.895065834936307,2.3030238319040786
75,24.195533040729263,2.2506539468270557
76,23.937172989374133,2.231386357058504
77,24.228767991564904,2.253135467134078
78,24.148561583406998,2.2471479246968693
79,23.634288189965083,2.2088514773367622
80,24.53651690051176,2.276145410082793
81,24.829966089476343,2.2981381594742216
82,24.773728858247733,2.2939195616134
83,25.427459696367343,2.3430685403535136
84,26.012649494400602,2.387260653678389
85,27.060318782362643,2.466808628520597
86,27.911180309584218,2.531789532724775
87,28.026112576852043,2.540591283663641
88,28.995243895636477,2.615026248762785
89,29.61395542238068,2.6627397593648596
90,28.913955430715447,2.608768359155703
91,29.271484814687177,2.6363113741557935
92,29.324965593919135,2.640435579444839
93,29.403908627624826,2.6465252934819365
94,29.157611706820465,2.6275335927201793
95,29.46585948540098,2.651305856467236
96,28.834681789969892,2.602668067378195
97,28.722566822774393,2.5940447889893727
98,28.89315088892984,2.6071671624827286
99,29.68427938696956,2.6681720265677757
100,29.76997062969956,2.674793802142583
101,29.89206066049092,2.684232885619161
102,31.17184423095528,2.7834878609286378
103,32.332053923266926,2.8739269868376773
104,33.14625525643811,2.937632074483526
105,32.97179870836568,2.9239664722781686
106,32.415710457088544,2.880463750805925
107,32.27494382408836,2.8694656863837467
108,32.83649762790844,2.9133738275070424
109,33.19799857379417,2.941686861717317
110,33.69238461455693,2.9804650795443917
111,33.87135564389238,2.9945189897950777
112,34.24284582275196,3.023717002990186
113,33.542845909839706,2.968728814814762
114,32.8441682397373,2.913974218409752
115,33.926978148534424,2.9988885050816148
116,34.22381610436048,3.0222204731798645
117,33.52390298552964,2.9672425370189175
118,33.952137766575134,3.0008652212048426
119,34.330390202250385,3.0306028134299003
120,34.464763034348586,3.041175635038429
121,34.00157846343655,3.004750102852464
122,33.30593354299318,2.9501473705777705
123,34.60593354299318,3.0522881175690473
124,34.37064423996265,3.0337696406337606
125,34.929976837124485,3.0778140712584445
126,36.19574655973887,3.1777569712255467
127,37.32027358347831,3.2668397279260635
128,37.03249381062094,3.244017568533823
129,37.54235874843606,3.284463321199896
130,38.21795345542392,3.338134007946144
131,38.36857843098418,3.3501117423471696
132,38.269444195453666,3.3422280898178767
133,39.56944398182973,3.4457511044513223
134,39.6139555243382,3.4493009278494116
135,39.05931055775671,3.4050919195939366
136,40.177726234551,3.4942906661543067
137,39.47842666173163,3.43849346420392
138,39.536844776565275,3.443151510694632
139,38.89984252422777,3.3923911474489072
140,39.29784024563651,3.4240978616957234
141,39.61363197031491,3.449275123002452
142,39.96176869844827,3.4770507113591327
143,41.14742515219558,3.5717940137659907
144,42.42285758882853,3.6739500068443833
145,42.66499969812471,3.6933707496985777
146,42.6305654718222,3.6906084943626762
147,43.116183481859515,3.729578913937514
148,42.9239646336412,3.714149689466547
149,42.26420656529041,3.661230019286112
150,42.96627403422471,3.717545397227193
151,44.22591126420895,3.818750547508312
152,44.06156944649162,3.805534987656506
153,44.3130070344315,3.825755728205844
154,45.01615642962645,3.882344598464487
155,44.73929419098489,3.8600558112576904
156,45.35506655921105,3.909640917184425
157,45.56446208839359,3.926512629092287
158,45.20033739704982,3.8971771308138505
159,44.501083423473254,3.8408860612050457
160,44.16376346093848,3.8137525292552565
161,43.67452825172045,3.774424549600545
162,43.84891815820408,3.7884396740875457
163,45.14891815820344,3.8930358145241515
164,44.57727373914772,3.8470166417329414
165,44.609746731861826,3.8496297652797953
166,44.640529164077364,3.8521069668004433
167,44.826710382734845,3.867092257233524
168,46.12671038273484,3.9718395985682564
169,46.61580790121445,4.011297886978214
170,47.60322353081676,4.091036009209059
171,46.917706146038775,4.035666637418817
172,47.26978656091026,4.064098165571652
173,47.69371801485215,4.098348869836547
174,48.99370372080907,4.203489790475043
175,49.587907430158005,4.251601465675022
176,50.03244731336033,4.287616036787563
177,50.42298451855321,4.3192699419756755
178,50.9124130443185,4.358957732515446
179,51.37430713810502,4.396431186769835
180,50.9525825818617,4.3622159822871085
181,51.20139644906283,4.3824008817577695
182,51.25058755426265,4.386392092357546
183,51.28451814985596,4.389145229571491
184,51.63337383200525,4.417456920870565
185,51.76902179656105,4.428468209096444
186,51.97224613575034,4.444967791717937
187,52.25610666242888,4.468019605046221
188,52.80032331059608,4.512231941640747
189,52.331609411761185,4.474152110568868
190,53.631609400485814,4.579808892548446
191,54.929765078565794,4.685437762355374
192,55.45352582199458,4.728088001867889
193,55.65338237730039,4.744367252356859
194,55.759134370167935,4.752982298946662
195,56.32222494053262,4.798866346345043
196,56.4035867156061,4.805497860079479
197,56.47286681811303,4.811144965552156
198,56.456152026261016,4.809782495091164
199,57.02998072041388,4.856566789303297
200,57.119904386591216,4.863900096297125
201,57.890977455279796,4.926801186937537
202,58.610520298907254,4.985529818125749
203,57.92335160798806,4.9294429068147165
204,58.125343873164184,4.945926775566032
205,57.43624997230359,4.889702055000204
206,57.73171702185023,4.9138064775938215
207,58.08138189202541,4.942338994797415
208,57.852252603545075,4.923641332123165
209,57.75027080872455,4.915320280680982
210,57.826525585474485,4.92154211751731
211,57.79305363574632,4.918811007347379
212,57.14820935593925,4.8662084777107
213,57.36759136217748,4.884101574025795
214,57.14967771633792,4.866328229585887
215,57.38899304830663,4.885847278889207
216,57.181409767277444,4.86891616317032
217,56.68834547773882,4.828710801753253
218,56.6010057240315,4.821590511678122
219,57.45753702393583,4.891438496138599
220,58.050982788481264,4.939858158886798
221,59.13440801791386,5.028307515421728
222,60.43440801791386,5.134522097524761
223,61.73337716365266,5.240739091237906
224,61.3718672500949,5.211169954052805
225,61.82992400534207,5.248637060192637
226,62.177372291097036,5.277063593873912
227,62.47368887219856,5.301311290418486
228,62.397818168785186,5.295102370367552
229,61.697826434405954,5.237830993737665
230,61.479105457804444,5.219940671153265
231,61.54026005594095,5.224942588568718
232,60.840260055940945,5.167699657269155
233,60.99051421001675,5.17998473265812
234,62.29051418642081,5.286321550846982
235,63.5777981009323,5.3916965554058915
236,63.75023744214231,5.405817836888483
237,64.29816444484102,5.450696917071845
238,65.57609494734807,5.555417918912586
239,65.01453535144242,5.509392111408453
240,65.44556105054852,5.544718120541156
241,66.25789606012427,5.61131594186287
242,67.55481837133698,5.7176951730183925
243,67.31603894031446,5.6981046426116375
244,68.1974702896328,5.770431667071598
245,69.20616383097737,5.853235757657705
246,69.10831150781722,5.845201450442955
247,69.67213303678402,5.891499362249328
248,69.45331619755645,5.873530035273694
249,69.93476957324772,5.913069326161738
250,70.34992818935451,5.947170426770276
251,70.21107527592294,5.935764419671866
252,70.67460720725698,5.973843509591103
253,71.27097396775228,6.0228452407341075
254,72.5586302103892,6.128686429185116
255,71.85863327023146,6.071142565600363
256,72.57934074467326,6.130389184067732
257,73.05041733752819,6.169123088001243
258,74.35040674172154,6.2760473797536545
259,74.85954417704112,6.3179370723330965
260,75.46888088942038,6.368080112900285
261,74.7731010359151,6.310824386260201
262,74.77985017862241,6.311379709576415
263,75.17103465321037,6.3435687307621915
264,75.65732229688838,6.383589212199189
265,75.85308621218047,6.399701972180077
266,75.48735614243435,6.369600620533616
267,75.68975170668739,6.386258312351861
268,75.97955784690399,6.410112025916459
269,76.20737442775562,6.428864983833623
270,76.08226575839872,6.4185663653985126
271,76.7886664636046,6.476720758726505
272,77.31596327983688,6.520138769127096
273,77.47238306175068,6.533019835838762
274,78.13415497583058,6.58752302008792
275,78.10699195482557,6.58528567687461
276,77.49031979989314,6.5344969535034
277,78.08481413770669,6.5834589644764865
278,78.54933785636146,6.621722710179405
279,78.51458163436689,6.618859591066096
280,79.4639024689329,6.697072222865626
281,79.8519335269942,6.729047361171224
282,79.75283022329131,6.72088056845621
283,80.33399756055721,6.768775925393877
284,80.63187189084607,6.793327386232784
285,80.9808164765169,6.822090668679921
286,80.86005265192033,6.812135879602079
287,80.43399443536984,6.777017668412847
288,80.45360675278911,6.77863414192611
289,80.68897727488908,6.7980343634042315
290,81.42757451427242,6.8589205354522464
291,80.86834548442796,6.812819463146093
292,80.82408223046751,6.8091708320048925
293,81.73588067299386,6.884339206867102
294,81.52822275408137,6.867218376622084
295,81.67725386711847,6.879505493005272
296,82.09856769377338,6.914243961928385
297,81.67202359880356,6.879074266855488
298,82.70786385989636,6.964488666854452
299,84.00740072068179,7.071678340710966
300,84.43144832492675,7.1066623017520865
301,84.79338018369785,7.136524462899525
302,84.8114255536592,7.138013410433391
303,85.85975180848267,7.224522754621468
304,86.17337794249127,7.250407587211257
305,86.8515076775044,7.3063824771069195
306,86.98389055854918,7.317310723694523
307,86.39033452049974,7.268314940435648
308,87.45207769087907,7.355962194620858
309,87.71018228780902,7.377271814386271
310,88.09446749690665,7.409001283894261
311,87.82129043017848,7.386445475037818
312,87.79125277329675,7.383965390320474
313,88.95030085069006,7.479674319553306
314,88.37854246428944,7.4324582669308095
315,87.76130095817767,7.381492408697955
316,87.4229325044631,7.353555983936497
317,87.84887147725729,7.388722741367634
318,88.85144843889974,7.471510654224066
319,90.15144843889973,7.578883151940989
320,90.88741351304212,7.639681646531625
321,91.1067482839595,7.6578026579270935
322,91.89755699385177,7.723143871506456
323,92.82817544895049,7.800049037052558
324,92.78348928401435,7.79635593461102
325,92.46813287659734,7.770294037445528
326,92.8818955957506,7.804488794499716
327,93.30517592132168,7.839472706593353
328,92.6051759419183,7.781619462997423
329,92.81265983324397,7.798766740699677
330,92.68053266462442,7.787847163208179
331,93.05447805518496,7.8187523364073686
332,92.9433990372586,7.809571862197502
333,94.14725737452682,7.909077972997492
334,94.6461318019054,7.950318942354717
335,95.84085446855526,8.049098200550338
336,97.13255236385002,8.155916704010068
337,97.39142832873951,8.177327358104916
338,96.70012023701115,8.1201537914129
339,96.67430721185373,8.118019084321974
340,96.66563424713415,8.11730184219037
341,97.9656226168097,8.224819828615622
342,98.1537452173745,8.240380629439187
343,98.90931132255855,8.302882642953493
344,100.04559725122527,8.396891591433954
